Actor,costar1,costar2,crew1,crew2,crew3
 Mel Blanc, Norman Nesbitt, , Chuck Jones, Michael Maltese, Edward Selzer
 Norman Nesbitt, Mel Blanc, , Chuck Jones, Michael Maltese, Edward Selzer
 , Mel Blanc, Norman Nesbitt, Chuck Jones, Michael Maltese, Edward Selzer
 Vanessa Redgrave, Lynn Redgrave, , David Greene, , 
 Lynn Redgrave, Vanessa Redgrave, , David Greene, , 
 , Vanessa Redgrave, Lynn Redgrave, David Greene, , 
 Cindy Baer, Moica, Caryn Waechter, Kevin Macdonald, Liza Marshall, Harry Gregson-Williams
 Moica, Cindy Baer, Caryn Waechter, Kevin Macdonald, Liza Marshall, Harry Gregson-Williams
 Caryn Waechter, Cindy Baer, Moica, Kevin Macdonald, Liza Marshall, Harry Gregson-Williams
 Nicole Vadim, , , Emilio Portici, Joseph P. Mawra, Emilio Portici
 Janyse Jaud, Anna Cummer, Chantal Strand, Sherri Stoner, Luke Guidici, John Grusd
 Anna Cummer, Janyse Jaud, Chantal Strand, Sherri Stoner, Luke Guidici, John Grusd
 Chantal Strand, Janyse Jaud, Anna Cummer, Sherri Stoner, Luke Guidici, John Grusd
 Troy Donahue, Renay Granville, Francine Middleton, Robert L. Roberts, Lloyd Kaufman, 
 Renay Granville, Troy Donahue, Francine Middleton, Robert L. Roberts, Lloyd Kaufman, 
 Francine Middleton, Troy Donahue, Renay Granville, Robert L. Roberts, Lloyd Kaufman, 
 Chris Riggi, Matt Lanter, Jenn Proske, Jason Friedberg, Aaron Seltzer, Jason Friedberg
 Matt Lanter, Chris Riggi, Jenn Proske, Jason Friedberg, Aaron Seltzer, Jason Friedberg
 Jenn Proske, Chris Riggi, Matt Lanter, Jason Friedberg, Aaron Seltzer, Jason Friedberg
 Janis Joplin, , , , , 
 Chen Kuan-Tai, Jason Pai Piao, Ku Feng, Tsui Siu-Ming, Tsui Siu-Ming, Mona Fong
 Jason Pai Piao, Chen Kuan-Tai, Ku Feng, Tsui Siu-Ming, Tsui Siu-Ming, Mona Fong
 Ku Feng, Chen Kuan-Tai, Jason Pai Piao, Tsui Siu-Ming, Tsui Siu-Ming, Mona Fong
 Judd Nelson, Bill Paxton, Rob Lowe, Adam Rifkin, Adam Rifkin, 
